title,cast,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio
Signs,", Mel Gibson, Joaquin Phoenix, Cherry Jones, Rory Culkin, Abigail Breslin, Patricia Kalember, M. Night Shyamalan, Ted Sutton",PG-13 (Some Frightening Moments),"Mystery & thriller, 
                        
                        Sci-fi",English,M. Night Shyamalan,"M. Night Shyamalan , Frank Marshall , Sam Mercer",M. Night Shyamalan,"Aug 2, 2002 wide","Aug 19, 2003",$228.0M,1h 46m,Touchstone Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Flat (1.85:1)
Sleepless in Seattle,", Tom Hanks, Meg Ryan, Bill Pullman, Ross Mallinger, Rosie O'Donnell, Rob Reiner, Gaby Hoffmann, Victor Garber, Rita Wilson, Barbara Garrick, Carey Lowell, Calvin Trillin, Dana Ivey, David Hyde Pierce",PG,"Romance, 
                        
                        Comedy",English,Nora Ephron,Gary Foster,"Nora Ephron , David S. Ward , Jeff Arch","Jun 25, 1993 wide","Jun 27, 2000",$125.6M,1h 44m,Columbia Tristar,"Surround, Stereo",
Snatch,", Benicio del Toro, Dennis Farina, Brad Pitt, Vinnie Jones, Rade Serbedzija, Jason Statham, Alan Ford, Mike Reid, Robbie Gee, Lennie James, Ewen Bremner, Jason Flemyng, Stephen Graham, Adam Fogerty, Sorcha Cusack, Andy Beckwith, Ade",R (Some Nudity|Language|Strong Violence),"Comedy, 
                        
                        Drama",English,Guy Ritchie,Matthew Vaughn,Guy Ritchie,"Jan 19, 2001 wide","May 6, 2003",$30.1M,1h 38m,Screen Gems,"Surround, Dolby SR, Dolby Digital, SDDS",Flat (1.85:1)
Species,", Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker, Marg Helgenberger, Natasha Henstridge, Michelle Williams, Jordan Lund",R,Sci-fi,English,Roger Donaldson,"Frank Mancuso Jr. , Dennis Feldman",Dennis Feldman,,"Jul 17, 2001",$58.7M,1h 48m,,"Surround, Stereo",
Species II,", Michael Madsen, Natasha Henstridge, Marg Helgenberger, Mykelti Williamson, George Dzundza, James Cromwell, Justin Lazard, Myriam Cyr, Sarah Wynter, Baxter Harris, Scott Morgan, Peter Boyle, Richard Belzer",R (Sci-Fi Gore|Language|Sci-Fi Violence|Strong Sexuality),Sci-fi,English,Peter Medak,Frank Mancuso Jr.,"Dennis Feldman , Chris Brancato","Apr 10, 1998 wide","Jul 17, 2001",$19.2M,1h 33m,Metro-Goldwyn-Mayer,"Surround, DTS",Scope (2.35:1)
Species III,", Sunny Mabrey, Robin Dunne, Robert Knepper, Amelia Cooke, J.P. Pitoc, Natasha Henstridge, Michael Warren, Christopher Neame",R,Sci-fi,English,Brad Turner,David Dwiggins,Ben Ripley,,"Dec 7, 2004",,1h 51m,,Surround,
Sweet Home Alabama,", Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen, Mary Kay Place, Fred Ward, Jean Smart, Ethan Embry, Melanie Lynskey, Courtney Gains, Mary Lynn Rajskub, Rhona Mitra, Nathan Lee Graham",PG-13 (Some Sexual References|Some Language),"Romance, 
                        
                        Comedy",English,Andy Tennant,"Neal H. Moritz , Stokely Chaffin","Douglas J. Eboch , C. Jay Cox","Sep 27, 2002 wide","Jan 13, 2004",$127.2M,1h 48m,Touchstone Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1)
Sweet Land,", Elizabeth Reaser, Tim Guinee, Alan Cumming, Lois Smith, Ned Beatty, John Heard, Alex Kingston, Patrick Heusinger, Paul Sand, Tom Gilroy, Charlotta Mohlin, Patrick Coyle, Sage Kermes, James Cada",PG (Brief Partial Nudity|Mild Language),"Drama, 
                        
                        Romance",English,Ali Selim,"Ali Selim , Alan Cumming",Ali Selim,,"Jul 10, 2007",$1.7M,1h 50m,,,
The Holiday,", Cameron Diaz, Kate Winslet, Jude Law, Jack Black, Eli Wallach, Edward Burns, Rufus Sewell, Shannyn Sossamon, Miffy Englefield, Emma Pritchard, Sarah Parish, Bill Macy, Shelley Berman, Kathryn Hahn, John Krasinski",PG-13 (Some Strong Language|Sexual Content),"Holiday, 
                        
                        Romance, 
                        
                        Comedy",English,Nancy Meyers,"Nancy Meyers , Bruce A. Block",Nancy Meyers,"Dec 8, 2006 wide","Mar 13, 2007",$63.2M,2h 12m,Sony Pictures,"Dolby SRD, DTS, SDDS",Flat (1.85:1)
The Hunger Games,", Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Lenny Kravitz, Stanley Tucci, Donald Sutherland, Wes Bentley, Toby Jones, Alexander Ludwig, Isabelle Fuhrman, Amandla Stenberg, Latarsha Rose, Paula Malcomson, Willow Shields, Bruce Bundy, Kimiko Gelman, Nelson Ascencio, Leven Rambin",PG-13 (Disturbing Images|All Involving Teens|Intense Violent Thematic Mat.),"Sci-fi, 
                        
                        Action, 
                        
                        Adventure",English,Gary Ross,"Nina Jacobson , Jon Kilik","Gary Ross , Suzanne Collins , Billy Ray","Mar 23, 2012 wide","Aug 18, 2012",$408.0M,2h 22m,Lionsgate Films,,
The Saint,", Marius Repsys, Gelmine Glemzaite, Valentinas Krulikovskis, Indre Patkauskaite, Lukas Malinauskas",,Drama,Lithuanian,Andrius Blazevicius,,"Andrius Blazevicius , Marija Kavtaradze",,"Apr 23, 2021",,1h 36m,,,
The Village,", Cihat Butun, Emin Ceylan, Fatma Ceylan, Kavva Saglam, Emin Toprak",,Drama,Turkish,Nuri Bilge Ceylan,,Nuri Bilge Ceylan,,,,1h 25m,,Surround,
The Vow,", Marion Leonard",,Drama,,Stanner E.V. Taylor,,,,,,1h 0m,,Mono,Flat (1.37:1)
Total Recall,", Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox, Michael Ironside, Marshall Bell, Mel Johnson Jr., Michael Champion, Roy Brocksmith, Ray Baker, Rosemary Dunsmore, Priscilla Allen",R,"Sci-fi, 
                        
                        Action",English,Paul Verhoeven,"Buzz Feitshans , Ronald Shusett","Philip K. Dick , Jon Povill , Gary Goldman","Jun 1, 1990 original","May 21, 2002",$117.8M,1h 49m,"Artisan Entertainment, 
                        
                        Live Video, 
                        
                        TriStar Pictures, 
                        
                        Image Entertainment Inc.","Surround, Magnetic Stereo 6 Track, Dolby SR, Stereo",35mm
Unforgettable,", Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald, Kim Cattrall, Kim Coates, David Paymer, Duncan Fraser, Garwin Sanford, Caroline Elliott, Colleen Rennison, Stellina Rusich, Suzy Joachim",R,Mystery & thriller,English,John Dahl,"Dino De Laurentiis , Martha De Laurentiis",Bill Geddie,,"Jun 4, 2002",$2.5M,1h 56m,,"Surround, Stereo",
Waitress,", Keri Russell, Nathan Fillion, Cheryl Hines, Adrienne Shelly, Lew Temple, Eddie Jemison, Jeremy Sisto, Andy Griffith",PG-13 (Sexual Content|Language|Thematic Elements),"Comedy, 
                        
                        Drama, 
                        
                        Romance",English,Adrienne Shelly,Michael Roiff,Adrienne Shelly,"May 2, 2007 limited","Nov 27, 2007",$19.1M,1h 47m,Fox,,
When A Man Loves A Woman,", Andy Garcia, Meg Ryan, Lauren Tom, Philip Seymour Hoffman, Tina Majorino, Mae Whitman, Ellen Burstyn, Eugene Roche, LaTanya Richardson",R,Drama,English,Luis Mandoki,"Jordan Kerner , Jon Avnet",,"Apr 29, 1994 original","Nov 19, 2002",$50.0M,2h 4m,,"Surround, Stereo",
Within,", Mia Ford, Samantha Hanratty, Lori Heuring, Sam Jaeger, Brent Sexton",R (Disturbing Violent Content|Involving A Child),"Mystery & thriller, 
                        
                        Drama",English,Hanelle M. Culpepper,,Rebecca Sonnenshine,,,,1h 35m,,,
Wolves at the Door,", Katie Cassidy, Elizabeth Henstridge, Jane Kaczmarek, Eric Ladin, Adam Campbell, Spencer Daniels, Miles Fisher, Lucas Adams",R (Terror|Some Language|Violence),"Horror, 
                        
                        Mystery & thriller",English,John R. Leonetti,Peter Safran,Gary Dauberman,,"May 23, 2017",,1h 12m,,,
Minor Premise,", Sathya Sridharan, Paton Ashbrook, Dana Ashbrook, Purva Bedi, Alex Breaux, E.J. Carroll, Karron Graves, Nikolas Kontomanolis, Melanie Nicholls-King",,"Sci-fi, 
                        
                        Mystery & thriller",English,Eric Schultz,"Justin Moretto , Ross O'Connor , Eric Schultz , Nicolai Schwarzkopf , Thomas Torrey","Eric Schultz , Justin Moretto , Thomas Torrey",,"Dec 4, 2020",,1h 34m,,,
Felix and the Hidden Treasure,", Elias Harger, Guy Nadon, Karine Vanasse, Gabriel Lessard, Marc Labrèche, Antoine Durand, Tristan Harvey, Éveline Gélinas, Catherine Proulx-Lemay, Frederic Desager, Louis Lacombe",PG (Some Cartoon Violence|Thematic Elements),"Kids & family, 
                        
                        Comedy, 
                        
                        Adventure, 
                        
                        Animation",French (Canada),Nicola Lemay,Nancy Florence Savard,Marc Robitaille,"Jun 25, 2021 limited","Jun 29, 2021",,1h 30m,Viva Kids,,Scope (2.35:1)
Gemini,", Masahiro Motoki, Ryô, Yasutaka Tsutsui, Shiho Fujimura, Akaji Maro, Naoto Takenaka, Renji Ishibashi, Tadanobu Asano",,"Horror, 
                        
                        Mystery & thriller",Japanese,Shin'ya Tsukamoto,Futoshi Nishimura,Shin'ya Tsukamoto,,"May 23, 2006",,1h 24m,,,
This World Alone,", Belle Adams, Sophie Edwards, Carrie Walrond Hood, Brandon O'Dell, Pudge The Pig, Lau'rie Roach",,"Drama, 
                        
                        Sci-fi",English,Jordan Noel,"Terri Measel Adams , Mandy Cate , Hudson Phillips",Hudson Phillips,,"May 18, 2021",,1h 30m,,,
Funhouse,", Elizabeth Berridge, Cooper Huckabee, Miles Chapin, Largo Woodruff, Sylvia Miles, Kevin Conway, William Finley, Shawn Carson, Jeanne Austin, Jack McDermott",R,Horror,English,Tobe Hooper,"Derek Power , Steven Bernhardt",Lawrence Block,"Apr 13, 1981 original","Sep 7, 2004",,1h 36m,Universal Pictures,Surround,
Grown Ups,", Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Joyce Van Patten, Ebony Jo-Ann, Di Quon, Steve Buscemi, Colin Quinn, Tim Meadows, Madison Riley, Jamie Chung, Ashley Loren, Jake Goldberg, Cameron Boyce, Alexys Nycole Sanchez",PG-13 (Language|Crude Material|Some Male Rear Nudity|Suicide References),Comedy,English,Dennis Dugan,"Adam Sandler , Jack Giarraputo","Adam Sandler , Fred Wolf","Jun 25, 2010 wide","Nov 9, 2010",$162.0M,1h 42m,Sony Pictures Entertainment,,
On Chesil Beach,", Saoirse Ronan, Billy Howle, Emily Watson, Samuel West, Anne-Marie Duff, Bebe Cave, Adrian Scarborough, Jonjo O'Neill, Philip Labey, Oliver Johnstone",R (Some Sexual Content and Nudity),"Romance, 
                        
                        Drama",English,Dominic Cooke,"Elizabeth Karlsen , Stephen Woolley",Ian McEwan,"May 18, 2018 limited","Aug 7, 2018",$741.6K,1h 50m,Bleecker Street Media,,Scope (2.35:1)
Riders of Justice,", Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg, Lars Brygmann, Nicolas Bro, Gustav Lindh, Roland Møller, Morten Suurballe, Jacob Lohmann, Albert Rudbeck Lindhardt, Gustav Dyekjær Giese, Jesper Ole Feit Andersen, Henrik Noël Olesen, Anne Birgitte Lind Feigenberg",,"Action, 
                        
                        Mystery & thriller, 
                        
                        Comedy",Danish,Anders Thomas Jensen,"Sisse Graum Jørgensen , Sidsel Hybschmann",Anders Thomas Jensen,"May 14, 2021 limited","May 21, 2021",$77.0K,1h 56m,,,
Stalker,", Monique Parent, Tera Patrick",,,,Unknown Director,,,,,,,,,
Colette,", Colette, Jean Cocteau",,,,Yannick Bellon,,,,,,,,,
John Bronco Rides Again,", Tim Baltz, Maximus Birchmore, Michael Chiklis, Bo Derek, Joshua Feinman, Walton Goggins, Brian Austin Green, Tim Meadows",,Comedy,English,Jonathan Krisel,"Marc Gilbar , Walton Goggins , Meredith Kaulfers , Maggie Mclean",Marc Gilbar,,"Sep 13, 2021",,26m,,,
High Ground,,,Documentary,English,Michael Brown,"Don Hahn , Michael Brown","Michael Brown , Scott McElroy , Brian Mockenhaupt , Ryan Fenson-Hood , Matthew L. Murray","Nov 2, 2012 limited","Nov 6, 2012",,1h 31m,Red Flag Releasing,,
Detainee 001,", John Walker Lindh",,Documentary,English,Greg Barker,,,,"Sep 10, 2021",,1h 30m,,,
Transporter 3,", Jason Statham, Natalya Rudakova, François Berléand, Robert Knepper, Jeroen Krabbé, Alex Kobold, David Atrakchi, Yann Sundberg, Eriq Ebouaney, David Kammenos, Silvio Simac",PG-13 (Sequences of Intense Action|Drug Material|Sequences of Intense Violence|Sexual Content),Action,English,Olivier Megaton,"Luc Besson , Steve Chasman","Luc Besson , Robert Mark Kamen","Nov 26, 2008 wide","Mar 10, 2009",$31.3M,1h 45m,Lionsgate Films,,
La La Land,", Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons, Finn Wittrock, Meagen Fay, Callie Hernandez, Sonoya Mizuno, Jessica Rothe, Tom Everett Scott, Josh Pence",PG-13 (Some Language),"Musical, 
                        
                        Romance, 
                        
                        Comedy, 
                        
                        Drama",English,Damien Chazelle,"Fred Berger , Jordan Horowitz , Marc Platt , Gary Gilbert",Damien Chazelle,"Dec 25, 2016 wide","Apr 25, 2017",$151.1M,2h 8m,Lionsgate Films,"DTS, Dolby Atmos, Dolby Digital",Scope (2.35:1)
Bolden,", Gary Carr, Erik LaRay Harvey, Yaya DaCosta, Reno Wilson, Karimah Westbrook, JoNell Kennedy, Robert Ri'chard, Serena Reeder, Michael Rooker, Ian McShane",R (Language|Brutal Violence|Graphic Nudity|Drug Use|Sexual Content),"Biography, 
                        
                        History, 
                        
                        Drama, 
                        
                        Music",English,Dan Pritzker,"Jonathan Cornick , Dan Pritzker , Michele Tayler",Dan Pritzker,"May 3, 2019 limited","May 7, 2019",,1h 42m,Abramorama,,Flat (1.85:1)
About Endlessness,", Martin Serner, Jessica Louthander, Tatiana Delaunay, Anders Hellström, Jan-Eje Ferling, Bengt Bergius, Thore Flygel, Magnus Wallgren",,Drama,Swedish,Roy Andersson,"Johan Carlsson , Pernilla Sandstrom",Roy Andersson,"Apr 30, 2021 limited","Apr 30, 2021",$48.5K,1h 16m,Magnolia Pictures,,
Death in Texas,", Ronnie Gene Blevins, Bruce Dern, Stephen Lang, Lara Flynn Boyle, John Ashton, William Shockley, Sam Daly, Craig Nigh, Cher Cosenza",,"Action, 
                        
                        Mystery & thriller",English,Scott Windhauser,"Brandon Menchen , Ronnie Gene Blevins , Tony Adler , Andrew Godbold",Scott Windhauser,"Jun 4, 2021 limited","Jun 4, 2021",,1h 41m,Vertical Entertainment,,
The Unthinkable,", Christoffer Nordenrot, Lisa Henni, Jesper Barkselius, Pia Halvorsen, Magnus Sundberg, Krister Kern, Karin Bertling, Ulrika Bäckström, Alexej Manvelov, Yngve Dahlberg, Håkan Ehn, Tarmo Sakari Hietala, Niklas Jarneheim, Arvin Kananian",,"Mystery & thriller, 
                        
                        Action",Swedish,Victor Danell,"Albin Pettersson , Olle Tholén","Victor Danell , Christoffer Nordenrot","May 7, 2021 limited","May 7, 2021",$655,2h 9m,Magnet Releasing,,
Blue City,", Judd Nelson, Ally Sheedy, David Caruso, Paul Winfield, Scott Wilson, Anita Morris, Luis Contreras, Julie Carmen",R,Mystery & thriller,English,Michelle Manning,"William Hayward , Walter Hill",,"May 2, 1986 limited","Jan 6, 2009",$6.0M,1h 23m,,,
Cold Creek Manor,", Dennis Quaid, Sharon Stone, Stephen Dorff, Juliette Lewis, Kristen Stewart, Ryan Wilson, Dana Eskelson, Christopher Plummer",R (Some Sexuality|Language|Violence),"Mystery & thriller, 
                        
                        Drama",English,Mike Figgis,"Annie Stewart , Mike Figgis","Richard Jefferies , Richard Jefferies","Sep 19, 2003 wide","Feb 5, 2006",$21.4M,1h 59m,Buena Vista Pictures,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",
Crazy Heart,", Jeff Bridges, Maggie Gyllenhaal, Robert Duvall, Tom Bower, Colin Farrell, James Keane, William Marquez, Ryan Bingham, Paul Herman, Rick Dial, Jack Nation",R (Language|Brief Sexuality),"Drama, 
                        
                        Romance",English,Scott Cooper,"Judy Cairo , Rob Carliner , Robert Duvall , T Bone Burnett",Scott Cooper,"Feb 5, 2010 wide","Apr 20, 2010",$39.5M,1h 52m,Fox,,
Edward Scissorhands,", Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Alan Arkin, Kathy Baker, Robert Oliveri, Conchata Ferrell, Vincent Price",PG-13,"Holiday, 
                        
                        Fantasy, 
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Romance",English,Tim Burton,"Denise Di Novi , Tim Burton",Caroline Thompson,"Dec 7, 1990 original","Dec 18, 2001",$54.2M,1h 45m,20th Century Fox,Surround,
El Dorado,", John Wayne, Robert Mitchum, James Caan, Arthur Hunnicutt, Ed Asner, Michele Carey, Christopher George, Charlene Holt, Paul Fix, R. G. Armstrong, Johnny Crawford, Robert Donner",,Western,English,Howard Hawks,Howard Hawks,Leigh Brackett,"Jun 7, 1967 original","Mar 21, 2000",,2h 6m,Paramount Pictures,,
Election,", Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell, Mark Harelik, Phil Reeves, Molly Hagan, Delaney Driscoll, Colleen Camp, Frankie Ingrassia, Matt Malloy, Jeanine Jackson, Holmes Osborne",R,Comedy,English,Alexander Payne,"Albert Berger , David Gale , Keith Samples , Ron Yerxa","Tom Perrotta , Alexander Payne , Jim Taylor","May 7, 1999 wide","May 15, 2012",$14.9M,1h 43m,"Paramount Pictures, 
                        
                        MTV Productions","Dolby, Surround",
Free Willy,", Jason James Richter, Lori Petty, Jayne Atkinson, Michael Madsen, Michael Ironside, Richard Riehle, August Schellenberg, Mykelti Williamson",PG,"Kids & family, 
                        
                        Drama",English,Simon Wincer,"Jennie Lew Tugend , Lauren Shuler Donner","Keith Walker , Corey Blechman","Jul 16, 1993 wide","Jan 28, 2003",$76.3M,1h 51m,Warner Bros.,Surround,
Gattaca,", Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal, Alan Arkin, Loren Dean, Jayne Brook, Elias Koteas, Chad Christ, William Lee Scott, Tony Shalhoub, Ernest Borgnine",PG-13,Sci-fi,English,Andrew Niccol,"Danny DeVito , Michael Shamberg , Stacey Sher",Andrew Niccol,"Oct 24, 1997 original","May 22, 2001",$12.3M,1h 52m,"Columbia TriStar Home Video, 
                        
                        Columbia Tristar, 
                        
                        Columbia Pictures, 
                        
                        Sony Pictures Entertainment","SDDS, Dolby Digital, Surround","Scope (2.35:1), 35mm"
Hoosiers,", Gene Hackman, Barbara Hershey, Dennis Hopper, Sheb Wooley, Fern Persons, Brad Boyle, Steve Hollar, Brad Long, David Neidorf, Kent Poole, Wade Schenck, Scott Summers, Maris Valainis",PG,Drama,English,David Anspaugh,"Angelo Pizzo , Carter DeHaven",Angelo Pizzo,"Nov 14, 1986 original","Feb 29, 2000",$25.8M,1h 54m,"Metro-Goldwyn-Mayer, 
                        
                        MGM/UA Home Entertainment Inc., 
                        
                        Orion Pictures","Surround, Stereo",
I Spit on Your Grave,", Camille Keaton, Eron Tabor, Richard Pace, Gunter Kleemann, Anthony Nichols, Alexis Magnotti",R,"Horror, 
                        
                        Mystery & thriller",English,Meir Zarchi,"Meir Zarchi , Joseph Zbeda",Meir Zarchi,"Nov 22, 1978 original","Feb 8, 2011",,1h 41m,Cinemagic,,
I Spit On Your Grave 2,", Jemma Dallender, Joe Absolom, Yavor Baharov, Aleksandar Aleksiev, Mary Stockley, Michael Dixon, Valentine Pelka, Peter Silverleaf",R (Language|Graphic Nudity|Some Drug Use|Strong Sadistic Violence|Torture and Rape),Horror,English,Steven R. Monroe,Lisa M. Hansen,"Neil Elman , Thomas Fenton",,"Sep 24, 2013",$441,1h 40m,,,
I Spit on Your Grave 3,", Sarah Butler, Jennifer Landon, Gabriel Hogan, Karen Strassman, Doug McKeon, Alissa Juvan, Michelle Hurd, Russell Charles Pitts",,Horror,English,R.D. Braunstein,"Lisa M. Hansen , Paul Hertzberg",Daniel Gilboy,,"Oct 20, 2015",,1h 31m,,,
Internal Affairs,", Richard Gere, Andy Garcia, Nancy Travis, Laurie Metcalf, Richard Bradford, William Baldwin, Michael Beach, Faye Grant, Katherine Borowitz, Annabella Sciorra",R,"Crime, 
                        
                        Drama",English,Mike Figgis,Frank Mancuso Jr.,Henry Bean,"Jan 12, 1990 original","Oct 5, 2010",$25.8M,1h 57m,Paramount Pictures,"Surround, Stereo",
Kiss The Girls,", Morgan Freeman, Ashley Judd, Cary Elwes, Tony Goldwyn, Jay O. Sanders, Bill Nunn, Brian Cox, Alex McArthur, Richard T. Jones, Jeremy Piven, William Converse-Roberts, Gina Ravera, Roma Maffia",R,Mystery & thriller,English,Gary Fleder,"Joe Wizan , David Brown","James Patterson , David Klass , DJ Hurricane","Oct 3, 1997 original","Oct 6, 1998",$60.5M,2h 0m,Paramount Pictures,Surround,"35mm, Scope (2.35:1)"
Miss You Already,", Toni Collette, Drew Barrymore, Paddy Considine, Dominic Cooper, Frances de la Tour, Jacqueline Bisset, Tyson Ritter, Honor Kneafsey, Ryan Lennon Baker, Mem Ferda",PG-13 (Some Language|Sexual Material|Thematic Content),"Comedy, 
                        
                        Drama",English,Catherine Hardwicke,Christopher Simon,Morwenna Banks,"Nov 6, 2015 limited","Mar 1, 2016",$1.2M,1h 52m,Roadside Attractions,,
Mommy,", Patty McCormack, Jason Miller, Brinke Stevens, Michael Cornelison, Majel Roddenberry, Mickey Spillane, Rachel Lemieux, Sarah Jane Miller",,Mystery & thriller,English,Max Allan Collins,James K. Hoffmann,Max Allan Collins,,"Aug 10, 1999",,1h 29m,,,
Phase IV,", Dean Cain, Brian Bosworth, Mimi Kuzyk, Nigel Bennett, Richard Donat, Heather Mathieson, Chuck Campbell, Stephen Coats",R,Mystery & thriller,English,Bryan Goeres,"Carlo Liconti , George Shamieh","Zani Leo , Jeff Hare , Bryan Goeres",,"Aug 25, 2018",,1h 36m,,"Stereo, Surround",
Priest,", Paul Bettany, Karl Urban, Cam Gigandet, Maggie Q, Lily Collins, Brad Dourif, Stephen Moyer, Christopher Plummer, Alan Dale, Mädchen Amick, Jacob Hopkins, Dave Florek, Joel Polinksky, John Griffin",PG-13 (Disturbing Images|Brief Strong Language|Intense Sequences of Action|Intense Sequences of Violence),"Fantasy, 
                        
                        Horror, 
                        
                        Action",English,Scott Stewart,"Michael De Luca , Joshua Donen , Mitchell Peck",Cory Goodman,"May 13, 2011 wide","Aug 16, 2011",$29.1M,1h 27m,Sony Pictures Entertainment,"SDDS, Dolby Digital",
Road to Perdition,", Tom Hanks, Paul Newman, Jude Law, Jennifer Jason Leigh, Stanley Tucci, Daniel Craig, Tyler Hoechlin, Liam Aiken, Dylan Baker, Ciarán Hinds",R (Violence|Language),"Crime, 
                        
                        Drama",English,Sam Mendes,"Sam Mendes , Richard D. Zanuck , Dean Zanuck",David Self,"Jul 12, 2002 wide","Feb 25, 2003",$104.1M,1h 56m,DreamWorks SKG,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1)
Shaun the Sheep Movie,", Justin Fletcher, John Sparkes, Omid Djalili, Richard Webber, Kate Harbour, Tim Hands, Andy Nyman, Simon Greenall, Emma Tate, Jack Paulson, Sean Connolly, Henry Burton, Dhimant Vyas, Sophie Laughton, Nia Medi James, Nick Park",PG (Rude Humor),"Kids & family, 
                        
                        Comedy, 
                        
                        Adventure, 
                        
                        Animation",English,"Mark Burton , Richard Starzak","Julie Lockhart , Paul Kewley",Mark Burton,"Aug 5, 2015 wide","Nov 24, 2015",$19.4M,1h 25m,Lionsgate Films,,
Slumdog Millionaire,", Dev Patel, Freida Pinto, Madhur Mittal, Anil Kapoor, Irrfan Khan, Tanay Chheda, Tanvi Ganesh Lonkar, Ashutosh Lobo Gajiwala, Rubina Ali, Azharuddin Mohammed Ismail, Ankur Vikal",R (Language|Disturbing Images|Some Violence),"Comedy, 
                        
                        Drama",English,Danny Boyle,Christian Colson,Simon Beaufoy,"Jan 23, 2009 wide","Mar 31, 2009",$141.3M,1h 56m,Fox,,
Solace,", Anthony Hopkins, Colin Farrell, Jeffrey Dean Morgan, Abbie Cornish, Matt Gerald, Jose Pablo Cantillo, Marley Shelton, Xander Berkeley",R (Language|Bloody Images|Nudity|Sexuality|Violence Throughout),Mystery & thriller,English,Afonso Poyart,"Thomas Augsberger , Claudia Bluemhuber , Matthias Emcke , Beau Flynn , Tripp Vinson",Sean Bailey,"Dec 16, 2016 limited","Mar 14, 2017",,1h 41m,Lionsgate Premiere,Dolby Digital,
Sucker Punch,", Paris Campbell, Christina Caparoula, Will Sierra, Greg Mays, Juju Gigante, Psycho Les, Lev Gorn, Jason Madera, Angela Grant, Jeff Mazzola",R,Drama,English,"Jeff Crook , Josh Crook",John Scaccia,"Jeff Crook , Josh Crook",,,,1h 30m,,,
The Apparition,", Ashley Greene, Sebastian Stan, Tom Felton, Julianna Guill, Luke Pasqualino, Rick Gomez, Anna Clark, Tim Williams, Marti Matulis",PG-13 (Some Sensuality|Frightening Images|Terror),Horror,English,Todd Lincoln,"Joel Silver , Andrew Rona , Alex Heineman",Todd Lincoln,"Aug 24, 2012 wide","Nov 27, 2012",$26.8K,1h 22m,Warner Bros. Pictures,"Datasat, SDDS, Dolby Digital",
The Glass House,,,Documentary,Persian,Hamid Rahmanian,Melissa Hibbard,Melissa Hibbard,,,,1h 32m,,,
The Interview,", Rico Aragon, Brigitte Kali Canales, Eden Claire Fisher, Anthony Feijoo, Al Bach, Gail Byer, Mayte Arce, Elaina Christina",,"Horror, 
                        
                        Mystery & thriller",English,Carlos Nunez,Dustin Fairbanks,Mike Muldoon,,"Mar 20, 2018",,1h 20m,,"Dolby Digital, Stereo",
The Possession,", Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport, Grant Show, Matisyahu, Rob LaBelle, Nana Gbewonyo, Anna Hagan, Brenda Crichlow, Jay Brazeau, Iris Quinn, Graeme Duffy, David Hovan",PG-13 (Mature Thematic Material|Disturbing Sequences|Violence),"Horror, 
                        
                        Mystery & thriller",English,Ole Bornedal,"Sam Raimi , Rob Tapert , J.R. Young","Juliet Snowden , Stiles White","Aug 31, 2012 wide","Jan 15, 2013",$49.1M,1h 31m,Lionsgate Films,"Datasat, SDDS, Dolby Digital",
The Tenant,", J. LaRose, Michael Berryman, Bill Cobbs, Randy Molnar, Georgia Chris, Sylvia Boykin, Aerica D'Amaro, Justin Smith, Ashley Totin, Jennifer Sterger",,"Horror, 
                        
                        Mystery & thriller",English,Ric La Monte,,Ric La Monte,"Apr 15, 2011 limited","Jul 5, 2011",$15.0K,1h 36m,Indican Pictures,,
The Wedding Plan,", Noa Koler, Amos Tamam, Oz Zehavi, Irit Sheleg, Ronny Merhavi, Oded Leopold, Jonathan Rozen",PG (Thematic Elements),"Romance, 
                        
                        Comedy",Hebrew,Rama Burshtein,Assaf Amir,Rama Burshtein,"May 12, 2017 limited","Jul 10, 2017",$1.4M,1h 50m,Roadside Attractions,,
